Customer ID,recency_days,frequency,monetary_ocv,R,F,M,rfm_score,rfm_segment
CID1011976,41,1,0.0,4,1,1,411,Potential Loyalist
CID1012073,220,1,119.0,2,1,2,212,Hibernating
CID1012116,46,1,560.0,4,1,3,413,Potential Loyalist
CID1012222,65,1,1195.0,4,1,4,414,Potential Loyalist
CID1012225,287,1,66.0,1,1,2,112,Lost
CID1012298,257,1,0.0,2,1,1,211,Hibernating
CID1012379,240,1,0.0,2,1,1,211,Hibernating
CID1012455,276,1,0.0,1,1,1,111,Lost
CID1012462,276,1,1540.0,1,1,4,114,Lost
CID1012491,289,1,999.0,1,1,4,114,Lost
CID1012548,147,1,446.0,3,1,3,313,Potential Loyalist
CID1012699,154,1,171.0,3,1,2,312,Potential Loyalist
CID1012737,10,1,0.0,4,1,1,411,Potential Loyalist
CID1012767,363,1,123.0,1,1,2,112,Lost
CID1012802,95,1,577.0,3,1,4,314,Potential Loyalist
CID1012811,115,1,0.0,3,1,1,311,Potential Loyalist
CID1012881,96,1,902.0,3,1,4,314,Potential Loyalist
CID1012897,346,1,0.0,1,1,1,111,Lost
CID1012925,163,1,1183.0,3,1,4,314,Potential Loyalist
CID1013016,298,1,405.0,1,1,3,113,Lost
CID1013132,354,1,0.0,1,1,1,111,Lost
CID1013241,289,1,595.0,1,1,4,114,Lost
CID1013581,184,1,455.0,2,1,3,213,Hibernating
CID1013613,300,1,0.0,1,1,1,111,Lost
CID1013661,83,1,364.0,4,1,3,413,Potential Loyalist
CID1013668,193,1,0.0,2,1,1,211,Hibernating
CID1013901,346,1,561.0,1,1,3,113,Lost
CID1013913,59,1,994.0,4,1,4,414,Potential Loyalist
CID1013951,292,1,408.0,1,1,3,113,Lost
CID1013953,285,1,0.0,1,1,1,111,Lost
CID1014107,1,1,1095.0,4,1,4,414,Potential Loyalist
CID1014185,283,1,56.0,1,1,2,112,Lost
CID1014231,102,1,435.0,3,1,3,313,Potential Loyalist
CID1014256,238,1,953.0,2,1,4,214,Hibernating
CID1014279,2,1,810.0,4,1,4,414,Potential Loyalist
CID1014401,231,1,53.0,2,1,2,212,Hibernating
CID1014435,100,1,1400.0,3,1,4,314,Potential Loyalist
CID1014442,89,1,126.0,4,1,2,412,Potential Loyalist
CID1014576,170,1,0.0,3,1,1,311,Potential Loyalist
CID1014650,126,1,311.0,3,1,3,313,Potential Loyalist
CID1014656,52,1,0.0,4,1,1,411,Potential Loyalist
CID1014713,342,1,103.0,1,1,2,112,Lost
CID1014787,289,1,220.0,1,1,2,112,Lost
CID1014823,292,1,606.0,1,1,4,114,Lost
CID1014838,263,1,212.0,2,1,2,212,Hibernating
CID1014855,346,1,688.0,1,1,4,114,Lost
CID1014941,344,1,0.0,1,1,1,111,Lost
CID1015015,249,1,0.0,2,1,1,211,Hibernating
CID1015034,319,1,256.0,1,1,2,112,Lost
CID1015232,175,1,853.0,3,1,4,314,Potential Loyalist
CID1015233,236,1,481.0,2,1,3,213,Hibernating
CID1015353,196,1,475.0,2,1,3,213,Hibernating
CID1015360,199,1,0.0,2,1,1,211,Hibernating
CID1015390,82,1,184.0,4,1,2,412,Potential Loyalist
CID1015513,86,1,171.0,4,1,2,412,Potential Loyalist
CID1015652,33,1,180.0,4,1,2,412,Potential Loyalist
CID1015706,126,1,534.0,3,1,3,313,Potential Loyalist
CID1015772,118,1,408.0,3,1,3,313,Potential Loyalist
CID1015819,94,1,0.0,3,1,1,311,Potential Loyalist
CID1015889,25,1,421.0,4,1,3,413,Potential Loyalist
CID1015901,299,1,449.0,1,1,3,113,Lost
CID1015952,144,1,988.0,3,1,4,314,Potential Loyalist
CID1015969,203,1,715.0,2,1,4,214,Hibernating
CID1015988,49,1,0.0,4,1,1,411,Potential Loyalist
CID1015991,99,1,0.0,3,1,1,311,Potential Loyalist
CID1016051,287,1,232.0,1,1,2,112,Lost
CID1016119,143,1,360.0,3,1,3,313,Potential Loyalist
CID1016195,80,1,926.0,4,1,4,414,Potential Loyalist
CID1016296,93,1,496.0,3,1,3,313,Potential Loyalist
CID1016306,317,1,426.0,1,1,3,113,Lost
CID1016307,285,1,196.0,1,1,2,112,Lost
CID1016516,73,1,0.0,4,1,1,411,Potential Loyalist
CID1016648,227,1,109.0,2,1,2,212,Hibernating
CID1016779,41,1,194.0,4,1,2,412,Potential Loyalist
CID1016798,298,1,513.0,1,1,3,113,Lost
CID1016847,128,1,0.0,3,1,1,311,Potential Loyalist
CID1016872,136,1,143.0,3,1,2,312,Potential Loyalist
CID1016975,238,1,812.0,2,1,4,214,Hibernating
CID1017019,145,1,0.0,3,1,1,311,Potential Loyalist
CID1017033,82,1,199.0,4,1,2,412,Potential Loyalist
CID1017055,323,1,0.0,1,1,1,111,Lost
CID1017248,147,1,996.0,3,1,4,314,Potential Loyalist
CID1017319,137,1,0.0,3,1,1,311,Potential Loyalist
CID1017346,336,1,408.0,1,1,3,113,Lost
CID1017389,273,1,0.0,2,1,1,211,Hibernating
CID1017397,166,1,0.0,3,1,1,311,Potential Loyalist
CID1017509,303,1,147.0,1,1,2,112,Lost
CID1017589,217,1,635.0,2,1,4,214,Hibernating
CID1017725,264,1,0.0,2,1,1,211,Hibernating
CID1017738,83,1,247.0,4,1,2,412,Potential Loyalist
CID1017769,225,1,0.0,2,1,1,211,Hibernating
CID1017817,67,1,0.0,4,1,1,411,Potential Loyalist
CID1017853,151,1,0.0,3,1,1,311,Potential Loyalist
CID1017869,120,1,615.0,3,1,4,314,Potential Loyalist
CID1017933,25,1,829.0,4,1,4,414,Potential Loyalist
CID1017969,8,1,933.0,4,1,4,414,Potential Loyalist
CID1017989,74,1,491.0,4,1,3,413,Potential Loyalist
CID1018009,71,1,3736.0,4,1,4,414,Potential Loyalist
CID1018138,41,1,0.0,4,1,1,411,Potential Loyalist
CID1018172,259,1,0.0,2,1,1,211,Hibernating
CID1018373,118,1,204.0,3,1,2,312,Potential Loyalist
CID1018483,42,1,1259.0,4,1,4,414,Potential Loyalist
CID1018512,118,1,467.0,3,1,3,313,Potential Loyalist
CID1018535,206,1,469.0,2,1,3,213,Hibernating
CID1018584,148,1,234.0,3,1,2,312,Potential Loyalist
CID1018663,191,1,432.0,2,1,3,213,Hibernating
CID1018725,234,1,407.0,2,1,3,213,Hibernating
CID1018771,211,1,0.0,2,1,1,211,Hibernating
CID1018808,223,1,849.0,2,1,4,214,Hibernating
CID1018836,51,1,0.0,4,1,1,411,Potential Loyalist
CID1018886,181,1,0.0,3,1,1,311,Potential Loyalist
CID1018891,73,1,264.0,4,1,2,412,Potential Loyalist
CID1018927,163,1,0.0,3,1,1,311,Potential Loyalist
CID1018935,161,1,0.0,3,1,1,311,Potential Loyalist
CID1019021,319,1,132.0,1,1,2,112,Lost
CID1019326,59,1,141.0,4,1,2,412,Potential Loyalist
CID1019337,188,1,0.0,2,1,1,211,Hibernating
CID1019428,99,1,338.0,3,1,3,313,Potential Loyalist
CID1019445,5,1,353.0,4,1,3,413,Potential Loyalist
CID1019742,237,1,0.0,2,1,1,211,Hibernating
CID1019744,281,1,640.0,1,1,4,114,Lost
CID1019763,129,1,0.0,3,1,1,311,Potential Loyalist
CID1019783,231,1,0.0,2,1,1,211,Hibernating
CID1019853,258,1,0.0,2,1,1,211,Hibernating
CID1019938,169,1,519.0,3,1,3,313,Potential Loyalist
CID1019946,116,1,325.0,3,1,3,313,Potential Loyalist
CID1019957,27,1,480.0,4,1,3,413,Potential Loyalist
CID1019996,337,1,1174.0,1,1,4,114,Lost
CID1019998,332,1,964.0,1,1,4,114,Lost
CID1020060,91,1,0.0,3,1,1,311,Potential Loyalist
CID1020111,303,1,0.0,1,1,1,111,Lost
CID1020124,58,1,0.0,4,1,1,411,Potential Loyalist
CID1020126,20,1,0.0,4,1,1,411,Potential Loyalist
CID1020164,132,1,639.0,3,1,4,314,Potential Loyalist
CID1020238,5,1,0.0,4,1,1,411,Potential Loyalist
CID1020263,197,1,497.0,2,1,3,213,Hibernating
CID1020281,62,1,273.0,4,1,2,412,Potential Loyalist
CID1020288,285,1,0.0,1,1,1,111,Lost
CID1020383,193,1,166.0,2,1,2,212,Hibernating
CID1020507,340,1,585.0,1,1,4,114,Lost
CID1020700,276,1,312.0,1,1,3,113,Lost
CID1020708,309,1,1624.0,1,1,4,114,Lost
CID1020772,216,1,656.0,2,1,4,214,Hibernating
CID1020830,151,1,77.0,3,1,2,312,Potential Loyalist
CID1020913,6,1,0.0,4,1,1,411,Potential Loyalist
CID1021011,41,1,0.0,4,1,1,411,Potential Loyalist
CID1021069,296,1,104.0,1,1,2,112,Lost
CID1021154,169,1,253.0,3,1,2,312,Potential Loyalist
CID1021173,293,1,187.0,1,1,2,112,Lost
CID1021184,21,1,805.0,4,1,4,414,Potential Loyalist
CID1021224,44,1,219.0,4,1,2,412,Potential Loyalist
CID1021245,330,1,316.0,1,1,3,113,Lost
CID1021309,356,1,422.0,1,1,3,113,Lost
CID1021315,326,1,409.0,1,1,3,113,Lost
CID1021429,276,1,255.0,1,1,2,112,Lost
CID1021431,358,1,0.0,1,1,1,111,Lost
CID1021573,187,1,270.0,2,1,2,212,Hibernating
CID1021695,70,1,470.0,4,1,3,413,Potential Loyalist
CID1021718,92,1,304.0,3,1,3,313,Potential Loyalist
CID1021742,289,1,711.0,1,1,4,114,Lost
CID1021850,133,1,130.0,3,1,2,312,Potential Loyalist
CID1021889,189,1,0.0,2,1,1,211,Hibernating
CID1021908,29,1,0.0,4,1,1,411,Potential Loyalist
CID1021933,198,1,599.0,2,1,4,214,Hibernating
CID1022003,213,1,796.0,2,1,4,214,Hibernating
CID1022061,153,1,0.0,3,1,1,311,Potential Loyalist
CID1022102,118,1,767.0,3,1,4,314,Potential Loyalist
CID1022192,275,1,556.0,1,1,3,113,Lost
CID1022318,306,1,2240.0,1,1,4,114,Lost
CID1022398,333,1,285.0,1,1,2,112,Lost
CID1022402,145,1,344.0,3,1,3,313,Potential Loyalist
CID1022484,279,1,345.0,1,1,3,113,Lost
CID1022499,182,1,747.0,3,1,4,314,Potential Loyalist
CID1022757,166,1,347.0,3,1,3,313,Potential Loyalist
CID1022767,186,1,1513.0,2,1,4,214,Hibernating
CID1022775,240,1,155.0,2,1,2,212,Hibernating
CID1022819,99,1,320.0,3,1,3,313,Potential Loyalist
CID1023069,305,1,0.0,1,1,1,111,Lost
CID1023135,23,1,0.0,4,1,1,411,Potential Loyalist
CID1023221,128,1,893.0,3,1,4,314,Potential Loyalist
CID1023222,120,1,280.0,3,1,2,312,Potential Loyalist
CID1023244,134,1,1051.0,3,1,4,314,Potential Loyalist
CID1023265,67,1,283.0,4,1,2,412,Potential Loyalist
CID1023272,59,1,326.0,4,1,3,413,Potential Loyalist
CID1023276,285,1,310.0,1,1,3,113,Lost
CID1023361,32,1,0.0,4,1,1,411,Potential Loyalist
CID1023416,97,1,0.0,3,1,1,311,Potential Loyalist
CID1023446,45,1,315.0,4,1,3,413,Potential Loyalist
CID1023470,162,1,2526.0,3,1,4,314,Potential Loyalist
CID1023522,301,1,0.0,1,1,1,111,Lost
CID1023576,322,1,0.0,1,1,1,111,Lost
CID1023624,270,1,0.0,2,1,1,211,Hibernating
CID1023838,85,1,231.0,4,1,2,412,Potential Loyalist
CID1023904,182,1,252.0,3,1,2,312,Potential Loyalist
CID1024082,205,1,819.0,2,1,4,214,Hibernating
CID1024150,4,1,934.0,4,1,4,414,Potential Loyalist
CID1024181,181,1,257.0,3,1,2,312,Potential Loyalist
CID1024240,331,1,0.0,1,1,1,111,Lost
CID1024272,294,1,0.0,1,1,1,111,Lost
CID1024316,297,1,171.0,1,1,2,112,Lost
CID1024355,271,1,0.0,2,1,1,211,Hibernating
CID1024377,49,1,375.0,4,1,3,413,Potential Loyalist
CID1024397,158,1,0.0,3,1,1,311,Potential Loyalist
CID1024490,245,1,0.0,2,1,1,211,Hibernating
CID1024505,204,1,231.0,2,1,2,212,Hibernating
CID1024720,323,1,1301.0,1,1,4,114,Lost
CID1024724,253,1,505.0,2,1,3,213,Hibernating
CID1024725,240,1,573.0,2,1,4,214,Hibernating
CID1024731,240,1,0.0,2,1,1,211,Hibernating
CID1024765,336,1,285.0,1,1,2,112,Lost
CID1024782,194,1,0.0,2,1,1,211,Hibernating
CID1024869,213,1,293.0,2,1,2,212,Hibernating
CID1024953,331,1,0.0,1,1,1,111,Lost
CID1024990,162,1,1296.0,3,1,4,314,Potential Loyalist
CID1024996,289,1,0.0,1,1,1,111,Lost
CID1025055,330,1,1037.0,1,1,4,114,Lost
CID1025133,77,1,69.0,4,1,2,412,Potential Loyalist
CID1025266,99,1,0.0,3,1,1,311,Potential Loyalist
CID1025308,39,1,0.0,4,1,1,411,Potential Loyalist
CID1025314,357,1,0.0,1,1,1,111,Lost
CID1025328,56,1,330.0,4,1,3,413,Potential Loyalist
CID1025358,182,1,413.0,3,1,3,313,Potential Loyalist
CID1025376,189,1,220.0,2,1,2,212,Hibernating
CID1025388,346,1,0.0,1,1,1,111,Lost
CID1025464,111,1,312.0,3,1,3,313,Potential Loyalist
CID1025623,254,1,0.0,2,1,1,211,Hibernating
CID1025635,350,1,508.0,1,1,3,113,Lost
CID1025709,362,1,202.0,1,1,2,112,Lost
CID1025710,107,1,703.0,3,1,4,314,Potential Loyalist
CID1025736,361,1,599.0,1,1,4,114,Lost
CID1025742,52,1,717.0,4,1,4,414,Potential Loyalist
CID1025793,142,1,986.0,3,1,4,314,Potential Loyalist
CID1025858,80,1,534.0,4,1,3,413,Potential Loyalist
CID1025931,187,1,0.0,2,1,1,211,Hibernating
CID1025996,312,1,0.0,1,1,1,111,Lost
CID1026129,334,1,406.0,1,1,3,113,Lost
CID1026134,360,1,606.0,1,1,4,114,Lost
CID1026192,213,1,0.0,2,1,1,211,Hibernating
CID1026325,288,1,832.0,1,1,4,114,Lost
CID1026343,287,1,0.0,1,1,1,111,Lost
CID1026428,330,1,98.0,1,1,2,112,Lost
CID1026479,87,1,0.0,4,1,1,411,Potential Loyalist
CID1026528,0,1,0.0,4,1,1,411,Potential Loyalist
CID1026547,18,1,51.0,4,1,2,412,Potential Loyalist
CID1026663,247,1,0.0,2,1,1,211,Hibernating
CID1026717,191,1,429.0,2,1,3,213,Hibernating
CID1026774,353,1,249.0,1,1,2,112,Lost
CID1026885,342,1,355.0,1,1,3,113,Lost
CID1026987,150,1,0.0,3,1,1,311,Potential Loyalist
CID1027018,221,1,311.0,2,1,3,213,Hibernating
CID1027056,74,1,439.0,4,1,3,413,Potential Loyalist
CID1027072,292,1,227.0,1,1,2,112,Lost
CID1027084,354,1,0.0,1,1,1,111,Lost
CID1027303,347,1,174.0,1,1,2,112,Lost
CID1027305,54,1,130.0,4,1,2,412,Potential Loyalist
CID1027331,3,1,485.0,4,1,3,413,Potential Loyalist
CID1027354,303,1,326.0,1,1,3,113,Lost
CID1027374,251,1,584.0,2,1,4,214,Hibernating
CID1027435,304,1,0.0,1,1,1,111,Lost
CID1027464,41,1,197.0,4,1,2,412,Potential Loyalist
CID1027559,229,1,0.0,2,1,1,211,Hibernating
CID1027720,280,1,0.0,1,1,1,111,Lost
CID1027799,173,1,212.0,3,1,2,312,Potential Loyalist
CID1028015,343,1,258.0,1,1,2,112,Lost
CID1028074,205,1,0.0,2,1,1,211,Hibernating
CID1028093,266,1,0.0,2,1,1,211,Hibernating
CID1028147,51,1,883.0,4,1,4,414,Potential Loyalist
CID1028227,204,1,1485.0,2,1,4,214,Hibernating
CID1028318,179,1,0.0,3,1,1,311,Potential Loyalist
CID1028358,13,1,480.0,4,1,3,413,Potential Loyalist
CID1028399,121,1,1395.0,3,1,4,314,Potential Loyalist
CID1028412,27,1,686.0,4,1,4,414,Potential Loyalist
CID1028518,88,1,411.0,4,1,3,413,Potential Loyalist
CID1028626,44,1,413.0,4,1,3,413,Potential Loyalist
CID1028653,179,1,0.0,3,1,1,311,Potential Loyalist
CID1028674,253,1,0.0,2,1,1,211,Hibernating
CID1028731,328,1,222.0,1,1,2,112,Lost
CID1028866,211,1,0.0,2,1,1,211,Hibernating
CID1028883,103,1,0.0,3,1,1,311,Potential Loyalist
CID1028913,270,1,509.0,2,1,3,213,Hibernating
CID1029073,135,1,0.0,3,1,1,311,Potential Loyalist
CID1029119,24,1,128.0,4,1,2,412,Potential Loyalist
CID1029162,35,1,0.0,4,1,1,411,Potential Loyalist
CID1029170,170,1,1130.0,3,1,4,314,Potential Loyalist
CID1029173,256,1,0.0,2,1,1,211,Hibernating
CID1029421,235,1,0.0,2,1,1,211,Hibernating
CID1029460,139,1,397.0,3,1,3,313,Potential Loyalist
CID1029552,333,1,274.0,1,1,2,112,Lost
CID1029729,26,1,819.0,4,1,4,414,Potential Loyalist
CID1029791,145,1,131.0,3,1,2,312,Potential Loyalist
CID1029854,203,1,813.0,2,1,4,214,Hibernating
