Pickup Location,total_rides,completed,avg_booking_value,avg_vtat,ndf_count,completion_rate_pct,ndf_rate_pct
Hauz Khas,876,553,511.06,8.61,69,63.1,7.9
Panchsheel Park,876,561,508.54,8.43,53,64.0,6.1
Gurgaon Railway Station,876,549,521.44,8.47,52,62.7,5.9
Ashram,874,536,525.63,8.66,61,61.3,7.0
Ambience Mall,873,552,490.79,8.61,59,63.2,6.8
Vasant Kunj,873,548,498.69,8.39,61,62.8,7.0
Chanakyapuri,873,549,499.63,8.54,58,62.9,6.6
Rithala,872,540,524.64,8.51,62,61.9,7.1
GTB Nagar,872,520,505.77,8.58,58,59.6,6.7
Aya Nagar,870,523,502.12,8.37,64,60.1,7.4
Vaishali,869,534,489.26,8.61,55,61.4,6.3
Karol Bagh,869,530,500.26,8.25,60,61.0,6.9
Tughlakabad,869,552,538.42,8.32,58,63.5,6.7
Badshahpur,868,506,519.28,8.34,70,58.3,8.1
Mayur Vihar,868,540,536.45,8.59,53,62.2,6.1
Shastri Nagar,868,547,525.5,8.13,61,63.0,7.0
Punjabi Bagh,868,525,523.79,8.38,60,60.5,6.9
India Gate,868,554,515.58,8.38,67,63.8,7.7
Shastri Park,867,531,491.84,8.62,68,61.2,7.8
Model Town,867,537,477.64,8.27,67,61.9,7.7
Greater Noida,866,516,562.43,8.44,77,59.6,8.9
Rohini East,866,547,502.01,8.56,47,63.2,5.4
Keshav Puram,865,513,538.66,8.43,65,59.3,7.5
Cyber Hub,864,524,504.62,8.32,62,60.6,7.2
DLF City Court,864,540,522.14,8.7,67,62.5,7.8
Civil Lines Gurgaon,863,537,511.2,8.67,68,62.2,7.9
Botanical Garden,863,545,536.94,8.61,64,63.2,7.4
Chandni Chowk,862,529,494.13,8.58,65,61.4,7.5
Ghitorni,862,548,503.2,8.41,55,63.6,6.4
Saidulajab,862,543,533.16,8.28,59,63.0,6.8
Basai Dhankot,862,545,528.76,8.45,58,63.2,6.7
Subhash Nagar,861,555,528.33,8.22,60,64.5,7.0
Ardee City,861,545,502.34,8.31,51,63.3,5.9
Peeragarhi,861,552,512.43,8.58,53,64.1,6.2
Pulbangash,860,544,499.46,8.85,65,63.3,7.6
Anand Vihar,859,553,490.94,8.59,69,64.4,8.0
Adarsh Nagar,858,534,467.63,8.42,62,62.2,7.2
Sonipat,857,534,465.68,8.52,60,62.3,7.0
Hero Honda Chowk,857,526,518.56,8.56,68,61.4,7.9
Kaushambi,855,525,520.17,8.27,56,61.4,6.5
Sikanderpur,855,536,477.9,8.57,61,62.7,7.1
Indirapuram,854,503,515.96,8.35,70,58.9,8.2
Sarai Kale Khan,854,530,525.52,8.44,65,62.1,7.6
Patel Chowk,854,529,485.84,8.36,64,61.9,7.5
Delhi Gate,854,541,498.47,8.64,63,63.3,7.4
Moti Nagar,853,546,484.03,8.43,47,64.0,5.5
Huda City Centre,852,545,514.18,8.43,58,64.0,6.8
Rajouri Garden,852,534,515.94,8.45,54,62.7,6.3
Ghaziabad,851,522,513.33,8.52,60,61.3,7.1
Pitampura,851,523,493.66,8.39,72,61.5,8.5
Hauz Rani,850,514,505.85,8.3,58,60.5,6.8
Indraprastha,850,513,524.77,8.36,51,60.4,6.0
RK Puram,850,550,502.61,8.18,47,64.7,5.5
Sushant Lok,850,549,493.69,8.34,60,64.6,7.1
Jama Masjid,849,546,528.8,8.37,61,64.3,7.2
Moolchand,848,532,490.2,8.54,62,62.7,7.3
Sarojini Nagar,848,535,517.69,8.54,56,63.1,6.6
Janakpuri,848,520,505.87,8.54,58,61.3,6.8
Bhiwadi,848,524,513.43,8.34,54,61.8,6.4
New Delhi Railway Station,847,522,501.58,8.56,62,61.6,7.3
Rohini,847,530,493.87,8.22,61,62.6,7.2
Sultanpur,847,536,529.85,8.74,66,63.3,7.8
Azadpur,847,538,490.98,8.15,47,63.5,5.5
Nirman Vihar,846,523,531.47,8.28,66,61.8,7.8
Raj Nagar Extension,845,534,515.32,8.66,52,63.2,6.2
Satguru Ram Singh Marg,844,519,514.73,8.49,58,61.5,6.9
Kadarpur,844,514,522.53,8.51,48,60.9,5.7
South Extension,844,539,495.46,8.3,54,63.9,6.4
Panipat,843,516,517.72,8.31,65,61.2,7.7
Green Park,842,532,480.33,8.64,58,63.2,6.9
Tis Hazari,842,531,514.57,8.18,66,63.1,7.8
Sohna Road,842,540,518.07,8.47,46,64.1,5.5
DLF Phase 3,842,518,505.41,8.39,52,61.5,6.2
Dwarka Mor,840,527,519.39,8.48,72,62.7,8.6
IMT Manesar,840,544,534.96,8.47,49,64.8,5.8
Akshardham,839,471,485.97,8.47,59,56.1,7.0
Narsinghpur,839,500,482.52,8.44,51,59.6,6.1
Central Secretariat,839,521,505.96,8.41,58,62.1,6.9
INA Market,839,527,491.1,8.4,49,62.8,5.8
Kashmere Gate ISBT,838,500,513.16,8.47,61,59.7,7.3
Udyog Vihar Phase 4,838,527,500.81,8.35,53,62.9,6.3
Udyog Bhawan,838,514,502.95,8.49,71,61.3,8.5
Connaught Place,837,514,518.57,8.41,58,61.4,6.9
Welcome,836,554,517.62,8.48,42,66.3,5.0
Karkarduma,836,502,500.73,8.42,62,60.0,7.4
Rohini West,835,519,538.25,8.23,75,62.2,9.0
Kashmere Gate,835,532,485.85,8.12,63,63.7,7.5
Meerut,834,518,495.18,8.33,64,62.1,7.7
Noida Sector 62,834,517,490.49,8.69,53,62.0,6.4
Vatika Chowk,833,489,469.91,8.44,68,58.7,8.2
Khan Market,832,507,511.49,8.28,49,60.9,5.9
Preet Vihar,832,498,514.58,8.29,57,59.9,6.9
Seelampur,832,525,497.13,8.68,56,63.1,6.7
Faridabad Sector 15,831,488,487.36,8.5,66,58.7,7.9
Anand Vihar ISBT,831,511,543.05,8.38,57,61.5,6.9
Mundka,830,511,524.66,8.41,56,61.6,6.7
IFFCO Chowk,830,491,515.29,8.4,63,59.2,7.6
Netaji Subhash Place,830,487,498.68,8.65,70,58.7,8.4
Rajiv Chowk,830,508,527.6,8.54,57,61.2,6.9
Gurgaon Sector 56,829,519,515.41,8.48,59,62.6,7.1
Chhatarpur,829,482,496.34,8.59,63,58.1,7.6
Lal Quila,827,490,495.67,8.64,62,59.3,7.5
Noida Extension,827,505,518.88,8.5,60,61.1,7.3
Govindpuri,827,507,489.7,8.27,64,61.3,7.7
Okhla,827,525,527.56,8.57,49,63.5,5.9
Kirti Nagar,827,502,507.37,8.44,56,60.7,6.8
Lajpat Nagar,826,515,507.12,8.38,60,62.3,7.3
IIT Delhi,826,525,490.95,8.22,64,63.6,7.7
Vidhan Sabha,825,506,490.85,8.48,66,61.3,8.0
Uttam Nagar,825,523,502.67,8.4,54,63.4,6.5
Paharganj,825,501,544.41,8.55,79,60.7,9.6
Paschim Vihar,825,513,499.68,8.55,62,62.2,7.5
Maidan Garhi,825,515,498.79,8.41,54,62.4,6.5
Gurgaon Sector 29,824,530,486.59,8.48,67,64.3,8.1
Jhilmil,824,509,511.06,8.57,56,61.8,6.8
Manesar,824,517,509.91,8.71,50,62.7,6.1
Kherki Daula Toll,824,513,538.03,8.3,64,62.3,7.8
Yamuna Bank,824,534,503.63,8.53,48,64.8,5.8
Qutub Minar,823,496,507.9,8.38,57,60.3,6.9
Saket A Block,823,497,498.9,8.66,55,60.4,6.7
Vinobapuri,823,450,503.4,8.38,76,54.7,9.2
Bhikaji Cama Place,821,494,500.74,8.61,68,60.2,8.3
MG Road,820,504,496.54,8.14,60,61.5,7.3
Shahdara,820,491,512.76,8.5,59,59.9,7.2
Golf Course Road,818,508,501.11,8.5,45,62.1,5.5
Palam Vihar,818,524,483.19,8.57,57,64.1,7.0
IGNOU Road,818,520,531.4,8.04,60,63.6,7.3
Sadar Bazar Gurgaon,817,517,480.47,8.44,60,63.3,7.3
Gwal Pahari,815,516,497.38,8.47,52,63.3,6.4
Munirka,815,486,514.08,8.54,50,59.6,6.1
Ramesh Nagar,811,489,535.12,8.43,57,60.3,7.0
Arjangarh,810,486,547.24,8.56,70,60.0,8.6
Old Gurgaon,807,491,502.24,8.6,83,60.8,10.3
Dilshad Garden,804,501,527.24,8.27,49,62.3,6.1
Kalkaji,803,511,510.21,8.41,49,63.6,6.1
Bahadurgarh,802,508,502.45,8.57,65,63.3,8.1
Chirag Delhi,800,486,507.68,8.32,59,60.8,7.4
Mandi House,800,503,495.3,8.54,55,62.9,6.9
Noida Sector 18,799,502,519.49,8.49,57,62.8,7.1
Laxmi Nagar,797,513,487.55,8.81,50,64.4,6.3
Ashok Vihar,796,492,518.68,8.56,61,61.8,7.7
Ghitorni Village,790,496,491.16,8.33,62,62.8,7.8
